36310264,8875,104188,17556,2016-08-02,02:25:00.0000000,2016-08-02,02:41:00.0000000,16,1,2.75,13.51,2.95,0.25,1,17.71,,,17.71,4,4,20160802,20160802,20160802,20160802,14404,2599,3588
36310345,5486,104101,17637,2016-08-03,02:48:00.0000000,2016-08-03,03:04:00.0000000,16,1,6.79,19.72,4,0.25,1,24.97,,,24.97,4,5,20160803,20160803,20160803,20160803,14485,2518,2928
36212383,4629,105027,13157,2016-01-01,09:39:00.0000000,2016-01-01,09:59:00.0000000,20,1,9.4499999999999993,25.93,1,0.25,0,29.13,,0,29.13,4,5,20160101,20160101,20160101,20160101,10005,3359,2766
36212481,7861,104917,13255,2016-01-01,10:34:00.0000000,2016-01-01,10:47:00.0000000,,2,,28,,,,28,,,28,4,5,20160101,20160101,20160101,20160101,10103,3261,3393
36212520,9278,104876,13294,2016-01-02,10:48:00.0000000,2016-01-02,10:59:00.0000000,,1,,28,,,,28,,,28,4,3,20160102,20160102,20160102,20160102,10142,3222,3631
36212578,4676,104814,13352,2016-01-02,11:11:00.0000000,2016-01-02,11:21:00.0000000,,1,,28,,,,28,,,28,4,5,20160102,20160102,20160102,20160102,10200,3164,2774
36212589,1808,104803,13363,2016-01-02,11:15:00.0000000,2016-01-02,11:24:00.0000000,9,1,4.2000000000000002,12.7,1.94,0.25,0,14.89,,,14.89,4,4,20160102,20160102,20160102,20160102,10211,3153,2308
36212597,7754,104795,13371,2016-01-02,11:20:00.0000000,2016-01-02,11:33:00.0000000,,1,,28,,,,28,,,28,4,3,20160102,20160102,20160102,20160102,10219,3145,3356
36212622,205,104766,13396,2016-01-02,11:31:00.0000000,2016-01-02,11:36:00.0000000,5,1,0.89000000000000001,8.2,0,0.25,2.25,28,,,28,4,5,20160102,20160102,20160102,20160102,10244,3120,2058
36212669,16648,104713,13443,2016-01-02,11:47:00.0000000,2016-01-02,12:28:00.0000000,41,1,1.48,11.17,0,0.25,2.25,28,,,28,4,5,20160102,20160102,20160102,20160102,10291,3073,3851
36212905,797113,104454,13679,2016-01-02,12:51:00.0000000,2016-01-02,13:08:00.0000000,16,1,5.0099999999999998,17.29,2.63,0.25,0,20.17,,,20.17,4,5,20160102,20160102,20160102,20160102,10527,2837,3973
36213322,8406,103988,14096,2016-01-03,13:52:00.0000000,2016-01-03,14:11:00.0000000,,1,,28,,,,28,10,2.8,25.2,4,3,20160103,20160103,20160103,20160103,10944,2420,3491
36213373,4812,103932,14147,2016-01-03,14:00:00.0000000,2016-01-03,14:11:00.0000000,11,2,3.73,13.24,3.87,0.25,2,21.31,10,2.13,19.18,4,5,20160103,20160103,20160103,20160103,10995,2369,2799
36214478,5517,104919,15252,2016-01-05,15:46:00.0000000,2016-01-05,15:54:00.0000000,8,1,1.21,10.63,0,0.25,2.25,28,,,28,4,5,20160105,20160105,20160105,20160105,12100,3262,2940
36214559,2943,104832,15333,2016-01-05,15:53:00.0000000,2016-01-05,16:03:00.0000000,10,2,1.5,10,1.54,0.25,0,11.79,,,11.79,4,1,20160105,20160105,20160105,20160105,12181,3181,2529
36214723,3450,104652,15497,2016-01-06,16:06:00.0000000,2016-01-06,16:09:00.0000000,,1,,28,,,,28,,,28,4,5,20160106,20160106,20160106,20160106,12345,3017,2610
36214763,1859,104609,15537,2016-01-06,16:09:00.0000000,2016-01-06,16:36:00.0000000,,3,,28,,,,28,,,28,4,4,20160106,20160106,20160106,20160106,12385,2977,2323
36214973,8510,104375,15747,2016-01-06,16:27:00.0000000,2016-01-06,16:38:00.0000000,,2,,28,,,,28,,,28,4,5,20160106,20160106,20160106,20160106,12595,2767,3505
36215093,7835,104240,15867,2016-01-06,16:36:00.0000000,2016-01-06,16:54:00.0000000,17,2,0,20,0,0.25,2.25,28,,,28,4,3,20160106,20160106,20160106,20160106,12715,2647,3382
36215271,5213,104044,16045,2016-01-07,16:50:00.0000000,2016-01-07,17:30:00.0000000,,1,,28,,,,28,,,28,4,5,20160107,20160107,20160107,20160107,12893,2469,2874
36215391,2088,103912,16165,2016-01-07,17:00:00.0000000,2016-01-07,17:20:00.0000000,20,1,9.1899999999999995,27.64,0,0.25,2.25,28,,,28,4,1,20160107,20160107,20160107,20160107,13013,2349,2366
36215782,4961,105524,16556,2016-01-07,17:28:00.0000000,2016-01-07,17:41:00.0000000,13,1,4.71,15.4,3.73,0.25,3,22.38,,,22.38,4,5,20160107,20160107,20160107,20160107,13404,3768,2829
36216159,721369,105060,16933,2016-01-08,17:53:00.0000000,2016-01-08,18:07:00.0000000,14,1,5.1299999999999999,16.48,3.95,0.25,3,23.68,,,23.68,4,4,20160108,20160108,20160108,20160108,13781,3391,3952
36216378,2985,104823,17152,2016-01-08,18:09:00.0000000,2016-01-08,18:21:00.0000000,12,2,5.2699999999999996,15.4,3.13,0.25,0,18.78,,,18.78,4,5,20160108,20160108,20160108,20160108,14000,3172,2538
36216681,2365,104489,17455,2016-01-09,18:31:00.0000000,2016-01-09,18:51:00.0000000,20,1,3.4900000000000002,17.83,4.22,0.25,3,25.3,,,25.3,4,5,20160109,20160109,20160109,20160109,14303,2869,2421
36216837,795008,104313,17611,2016-01-09,18:42:00.0000000,2016-01-09,18:54:00.0000000,12,1,1.5,10.81,2.21,0.25,0,13.27,,,13.27,4,4,20160109,20160109,20160109,20160109,14459,2713,3970
36217003,3430,104131,17777,2016-01-09,18:53:00.0000000,2016-01-09,19:18:00.0000000,24,1,4.4199999999999999,20.53,4.76,0.25,3,28.54,,,28.54,4,5,20160109,20160109,20160109,20160109,14625,2547,2608
36217049,4151,104081,17823,2016-01-09,18:57:00.0000000,2016-01-09,19:08:00.0000000,11,1,1.5,10,1.02,0.25,0,11.27,,,11.27,4,5,20160109,20160109,20160109,20160109,14671,2501,2711
36217111,5946,104011,17885,2016-01-09,19:00:00.0000000,2016-01-09,19:08:00.0000000,7,1,1.25,8.11,2.09,0.25,0,10.45,,,10.45,4,1,20160109,20160109,20160109,20160109,14733,2439,3027
36217134,739,103984,17908,2016-01-09,19:02:00.0000000,2016-01-09,19:22:00.0000000,,1,,28,,,,28,,,28,4,5,20160109,20160109,20160109,20160109,14756,2416,2133
36218851,4868,103802,19625,2016-01-12,20:59:00.0000000,2016-01-12,21:32:00.0000000,,2,,28,,,,28,,,28,4,5,20160112,20160112,20160112,20160112,16473,2247,2810
36219253,7849,105669,20027,2016-01-13,21:33:00.0000000,2016-01-13,21:47:00.0000000,14,1,2.4399999999999999,10.9,0,0.25,2.25,28,,,28,4,5,20160113,20160113,20160113,20160113,16875,3843,3388
36219395,4869,105408,20169,2016-01-13,21:43:00.0000000,2016-01-13,21:48:00.0000000,5,1,0.82999999999999996,6.22,1.89,0.25,3,11.36,,,11.36,4,5,20160113,20160113,20160113,20160113,17017,3701,2811
36220216,2363,104504,20990,2016-01-14,22:49:00.0000000,2016-01-14,22:56:00.0000000,7,1,1.01,7.84,1.05,0.25,0,9.14,,,9.14,4,4,20160114,20160114,20160114,20160114,17838,2880,2420
36220422,1000010,104272,21196,2016-01-14,23:04:00.0000000,2016-01-14,23:19:00.0000000,14,1,1.47,11.89,2.43,0.25,0,14.57,,,14.57,4,5,20160114,20160114,20160114,20160114,18044,2674,3995
36220590,2220,104086,21364,2016-01-15,23:15:00.0000000,2016-01-15,23:36:00.0000000,20,1,1.45,11.89,2.38,0,0,14.27,,,14.27,4,5,20160115,20160115,20160115,20160115,18212,2506,2391
36220893,13080,103756,21667,2016-01-15,23:40:00.0000000,2016-01-15,23:57:00.0000000,16,1,2.5699999999999998,13.51,2.75,0.25,0,16.51,,,16.51,4,5,20160115,20160115,20160115,20160115,18515,2203,3809
36221118,9218,105740,12525,2016-01-15,23:58:00.0000000,2016-01-15,00:29:00.0000000,30,1,3.96,21.88,4.63,0.25,1,29.71,5,1.49,28.22,4,5,20160115,20160115,20160115,20160115,9373,3899,3623
36221204,2878,105614,12611,2016-01-15,00:06:00.0000000,2016-01-15,00:21:00.0000000,14,1,1.9099999999999999,12.16,2.48,0.25,0,14.89,5,0.74,14.15,4,4,20160115,20160115,20160115,20160115,9459,3813,2521
36221829,5545,104839,13236,2016-01-16,00:55:00.0000000,2016-01-16,01:07:00.0000000,12,1,3.02,12.97,2.84,0.25,1,19.01,,,19.01,4,2,20160116,20160116,20160116,20160116,10084,3188,2949
36222060,6857,104587,13518,2016-01-16,01:13:00.0000000,2016-01-17,01:45:00.0000000,32,1,4.0499999999999998,23.23,2.45,0.25,1,26.93,,,26.93,4,5,20160116,20160117,20160116,20160117,10366,2957,3178
36222123,5143,103874,13581,2016-01-17,01:17:00.0000000,2016-01-17,01:35:00.0000000,17,2,2.73,14.05,3.26,0.25,2,21.51,,,21.51,4,2,20160117,20160117,20160117,20160117,10429,2313,2861
36222158,3838,103834,13616,2016-01-17,01:22:00.0000000,2016-01-17,01:33:00.0000000,11,1,3.2000000000000002,12.43,3.8,0.25,0,16.48,,,16.48,4,5,20160117,20160117,20160117,20160117,10464,2278,2663
36222558,341,105713,14016,2016-01-17,02:06:00.0000000,2016-01-17,02:23:00.0000000,16,1,3.0600000000000001,14.32,3.64,0.25,0,18.21,,,18.21,4,4,20160117,20160117,20160117,20160117,10864,3876,2079
36222978,1515,105130,14436,2016-01-18,02:55:00.0000000,2016-01-18,03:07:00.0000000,12,2,2.52,11.35,1.7,0,0,13.05,,,13.05,4,4,20160118,20160118,20160118,20160118,11284,3456,2259
